data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6338753,300,GRC1142,1142,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Greece)","Women (Greece), Labour Group (Greece)",6,,,0,60,Europe,Greece,"Central Macedonia",Thessaloniki,Kalamaria,Kalamaria,40.5789,22.9485,1,MAKEDONIA,Subnational,"On 7 November, the committee for International Peace and the committee against NATO bases organised a protest concert at the Kalamaria city hall square in Thessaloniki in order to start a petition against the Greece-US Defence Cooperation Agreement. The women's association of Kalamaria, the parents association of Kalamaria, pensioners, construction workers, chess clubs and other cultural and athletic associations participated in the protest. [size=no report]",0,1573586487,GRC
6338754,300,GRC1152,1152,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Greece)","Students (Greece), Anarchist Group (Greece)",6,,,0,60,Europe,Greece,"Central Macedonia",Thessaloniki,Neapoli-Sykies,Neapoli,40.6539,22.9414,1,MAKEDONIA,Subnational,"On 7 November, members of the non-parliament left, high school students and members of the anarchist high school student group ""Ataxia"" rallied in Neapoli and then marched to protest against the previous day's racist attack on their fellow student, an Iranian refugee. [size=no report]",0,1573586487,GRC
6335172,422,LBN2251,2251,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,Nabatiye,Hasbaya,,Hasbaya,33.3978,35.685,1,"National News Agency Lebanon",National,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students across Lebanon, joined demonstrations for a second day. A demonstration was held in Hasbaya. [size=no report]",0,1573506507,LBN
6335173,422,LBN2256,2256,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,Beirut,Beirut,,"Beirut-Ras Beirut",33.8919,35.4816,1,"National News Agency Lebanon",National,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students across Lebanon, joined demonstrations for a second day. Hundreds of students joined demonstrations on Bliss Street in Hamra near the main entrance of the American University of Beirut. [size=hundreds]",0,1573506507,LBN
6335174,422,LBN2246,2246,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,"Mount Lebanon",Matn,,"Ed Dekouane",33.8781,35.5508,1,"National News Agency Lebanon",National,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students across Lebanon, joined demonstrations for a second day. Students and demonstrators held sit-in's outside Ogero Shekka and a Car Registration Office Matn's Dekwane. [size=no report]",0,1573506507,LBN
6336966,586,PAK54335,54335,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Pakistan)","Mari Tribal Group (Pakistan)",6,,,0,60,"Southern Asia",Pakistan,Sindh,Sanghar,"Tando Adam","Tando Adam",25.7673,68.6504,1,"Daily Regional Times (Pakistan)",Subnational,"On November 7, members of Mari tribe protested in Tando Adam town (Sanghar, Sindh) demanding arrest of suspects who killed a man from their community. [size=no report]",0,1573566094,PAK
6335175,422,LBN2248,2248,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,"Mount Lebanon",Kesrouane,,Jounieh,33.9808,35.6178,1,"National News Agency Lebanon",National,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students across Lebanon, joined demonstrations for a second day. Students and demonstrators held a sit-in outside the Saray and the Ogero building in Jounieh. [size=no report]",0,1573506507,LBN
6336967,586,PAK54349,54349,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Pakistan)","Rind Communal Group (Pakistan)",6,,,0,60,"Southern Asia",Pakistan,Sindh,Jamshoro,Sehwan,Sehwan,26.4179,67.8408,1,"Daily Regional Times (Pakistan)",Subnational,"On November 7, members of Rind community protested in Sehwan city (Jamshoro, Sindh) against the police for failing to prevent the occupation on the agricultural lands of the Rind community and registration of cases against members of Rind community. [size=no report]",0,1573566094,PAK
6337225,356,IND65617,65617,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"Southern Asia",India,Assam,Jorhat,Jorhat,Jorhat,26.7456,94.2045,1,"Sentinel (India)",Subnational,"On 7 November, the Assam Agricultural University Employees' Association AAU and members of the State Federation held an protest in front of their campus in Jorhat (Jorhat, Assam) to demand uniform pay scale, service condition and filling up of vacant posts, among other demands. [size=no report]",0,1573566095,IND
6335178,422,LBN2247,2247,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,"Mount Lebanon",Kesrouane,,"Zouq Mosbeh",33.9567,35.62,2,"National News Agency Lebanon",National,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students across Lebanon, joined demonstrations for a second day. Students and demonstrators held a sit-in outside the Zouq Mikael thermal plant near Zouq Mosbeh. [size=no report]",0,1573506507,LBN
